tt0463854,28 Weeks Later,260675,7.0,2007
tt0842926,The Kids Are All Right,126410,7.0,2010
tt0096928,Bill & Ted's Excellent Adventure,120551,7.0,1989
tt2527336,Star Wars: Episode VIII - The Last Jedi,573371,7.0,2017
tt1483013,Oblivion,490823,7.0,2013
tt0120812,Rush Hour,241888,7.0,1998
tt1355644,Passengers,356401,7.0,2016
tt1228705,Iron Man 2,734591,7.0,2010
tt0120630,Chicken Run,178791,7.0,2000
tt4178092,The Gift,142653,7.0,2015
tt1385826,The Adjustment Bureau,246141,7.0,2011
tt0320691,Underworld,254948,7.0,2003
tt1019452,A Serious Man,135412,7.0,2009
tt0887883,Burn After Reading,313323,7.0,2008
tt0276751,About a Boy,174327,7.0,2002
tt1563738,One Day,141051,7.0,2011
tt0461770,Enchanted,178565,7.0,2007
tt1905041,Fast & Furious 6,371864,7.0,2013
tt1060277,Cloverfield,375769,7.0,2008
tt1462758,Buried,151185,7.0,2010
tt0107614,Mrs. Doubtfire,249109,7.0,1993
tt1587310,Maleficent,348008,7.0,2014
tt4034354,Swiss Army Man,107653,7.0,2016
tt0100405,Pretty Woman,294751,7.0,1990
tt1155056,"I Love You, Man",195398,7.0,2009
tt0113497,Jumanji,313394,7.0,1995
tt0800369,Thor,759381,7.0,2011
tt0942385,Tropic Thunder,382937,7.0,2008
tt0212338,Meet the Parents,313759,7.0,2000
tt1567609,Get the Gringo,104011,7.0,2012
tt0369610,Jurassic World,585361,7.0,2015
tt1723121,We're the Millers,409101,7.0,2013
tt1100089,Foxcatcher,135625,7.0,2014
tt1282140,Easy A,363527,7.0,2010
tt0118655,Austin Powers: International Man of Mystery,223733,7.0,1997
tt5439796,Logan Lucky,134189,7.0,2017
tt0092890,Dirty Dancing,207344,7.0,1987
tt0163651,American Pie,379885,7.0,1999
tt0418279,Transformers,600429,7.0,2007
tt2294449,22 Jump Street,349489,7.0,2014
tt0462499,Rambo,219854,7.0,2008
tt0418763,Jarhead,177308,7.0,2005
tt0116483,Happy Gilmore,200830,7.0,1996
tt1092026,Paul,237564,7.0,2011
tt0360486,Constantine,311849,7.0,2005
tt3079380,Spy,232120,7.0,2015
tt0183649,Phone Booth,252821,7.0,2002
tt0120616,The Mummy,394995,7.0,1999
tt0411477,Hellboy II: The Golden Army,257452,7.0,2008
tt1615160,The Foreigner,104444,7.0,2017
tt1862079,Safety Not Guaranteed,121332,7.0,2012
tt1028528,Death Proof,271738,7.0,2007
tt1245526,RED,292295,7.0,2010
tt0770828,Man of Steel,712326,7.0,2013
tt4062536,Green Room,109755,7.0,2015
tt1213663,The World's End,262590,7.0,2013
tt7959026,The Mule,117416,7.0,2018
tt0116629,Independence Day,532579,7.0,1996
tt0369179,Two and a Half Men,243402,7.0,2003
tt5715874,The Killing of a Sacred Deer,128255,7.0,2017
tt0093177,Hellraiser,105683,7.0,1987
tt1650062,Super 8,340600,7.0,2011
tt0431197,The Kingdom,118633,7.0,2007
tt1152836,Public Enemies,284879,7.0,2009
tt1706593,Chronicle,241046,7.0,2012
tt0377092,Mean Girls,340709,7.0,2004
tt0431308,P.S. I Love You,201374,7.0,2007
tt0816711,World War Z,608214,7.0,2013
tt0472062,Charlie Wilson's War,111889,7.0,2007
tt1135503,Julie & Julia,109822,7.0,2009
tt5848272,Ralph Breaks the Internet,135949,7.0,2018
tt0448115,Shazam!,269692,7.0,2019
tt1446714,Prometheus,572960,7.0,2012
tt0059800,Thunderball,108467,7.0,1965
tt0790724,Jack Reacher,313206,7.0,2012
tt1077258,Planet Terror,201339,7.0,2007
tt0317740,The Italian Job,345200,7.0,2003
tt0116583,The Hunchback of Notre Dame,144123,7.0,1996
tt8228288,The Platform,173475,7.0,2019
tt0103772,Basic Instinct,181826,7.0,1992
tt0307987,Bad Santa,136322,7.0,2003
tt0103776,Batman Returns,277575,7.0,1992
tt0105793,Wayne's World,145702,7.0,1992
tt1259521,The Cabin in the Woods,380805,7.0,2011
tt5095030,Ant-Man and the Wasp,321565,7.0,2018
tt0319343,Elf,233346,7.0,2003
tt1148204,Orphan,194145,7.0,2009
