tt0134084,Scream 3,125068,5.6,2000
tt2096672,Dumb and Dumber To,130119,5.6,2014
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,131104,5.6,2003
tt2557478,Pacific Rim: Uprising,108047,5.6,2018
tt1038919,The Bounty Hunter,122376,5.6,2010
tt2283336,Men in Black: International,112774,5.6,2019
tt0117218,The Nutty Professor,111467,5.6,1996
tt0286716,Hulk,253788,5.6,2003
tt0113492,Judge Dredd,111474,5.6,1995
tt1284575,Bad Teacher,194603,5.6,2011
tt0370263,Alien vs. Predator,186612,5.6,2004
tt0790736,R.I.P.D.,119141,5.6,2013
tt0346491,Alexander,163636,5.6,2004
tt1000774,Sex and the City,116901,5.6,2008
tt2109248,Transformers: Age of Extinction,299835,5.6,2014
tt1648190,The Dark Tower,129894,5.6,2017
tt4779682,The Meg,153831,5.6,2018
tt0381707,White Chicks,133076,5.6,2004
tt4566758,Mulan,118676,5.6,2020
tt0486576,Fantastic 4: Rise of the Silver Surfer,252559,5.6,2007
